@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric

@data
124,'2018/02/18 17:45:56:767',3,0,0
125,'2018/02/18 17:45:56:768',3,0,0
126,'2018/02/18 17:45:56:777',3,0,0
127,'2018/02/18 17:45:56:787',3,0,0
128,'2018/02/18 17:45:56:787',3,0,0
129,'2018/02/18 17:45:56:798',3,0,0
130,'2018/02/18 17:45:56:799',3,0,0
131,'2018/02/18 17:45:56:807',3,0,0
132,'2018/02/18 17:45:56:807',3,0,0
133,'2018/02/18 17:45:56:818',3,0,0
134,'2018/02/18 17:45:56:827',3,0,0
135,'2018/02/18 17:45:56:828',3,16,0
136,'2018/02/18 17:45:56:837',3,-16,0
137,'2018/02/18 17:45:56:838',3,0,0
138,'2018/02/18 17:45:56:848',3,-48,0
139,'2018/02/18 17:45:56:857',3,48,0
140,'2018/02/18 17:45:56:858',3,0,0
141,'2018/02/18 17:45:56:868',3,-16,0
142,'2018/02/18 17:45:56:868',3,16,0
143,'2018/02/18 17:45:56:878',3,0,0
144,'2018/02/18 17:45:56:888',3,48,0
145,'2018/02/18 17:45:56:889',3,-48,0
146,'2018/02/18 17:45:56:897',3,0,0
147,'2018/02/18 17:45:56:898',3,0,0
148,'2018/02/18 17:45:56:908',3,-16,0
149,'2018/02/18 17:45:56:919',3,16,0
150,'2018/02/18 17:45:56:920',3,0,0
151,'2018/02/18 17:45:56:928',3,-16,0
152,'2018/02/18 17:45:56:928',3,16,0
153,'2018/02/18 17:45:56:937',3,0,0
154,'2018/02/18 17:45:56:948',3,48,0
155,'2018/02/18 17:45:56:948',3,-48,0
156,'2018/02/18 17:45:56:959',3,0,0
157,'2018/02/18 17:45:56:960',3,0,0
158,'2018/02/18 17:45:56:967',3,0,0
159,'2018/02/18 17:45:56:978',3,0,0
160,'2018/02/18 17:45:56:979',3,0,0
161,'2018/02/18 17:45:56:987',3,0,0
162,'2018/02/18 17:45:56:997',3,0,0
163,'2018/02/18 17:45:56:997',3,0,0
164,'2018/02/18 17:45:57:009',3,-16,0
165,'2018/02/18 17:45:57:010',3,16,0
166,'2018/02/18 17:45:57:018',3,0,0
167,'2018/02/18 17:45:57:019',3,-32,0
168,'2018/02/18 17:45:57:028',3,32,0
169,'2018/02/18 17:45:57:037',3,0,0
170,'2018/02/18 17:45:57:038',3,16,0
171,'2018/02/18 17:45:57:047',3,-16,0
172,'2018/02/18 17:45:57:047',3,0,0
173,'2018/02/18 17:45:57:057',3,16,0
174,'2018/02/18 17:45:57:067',3,-16,0
175,'2018/02/18 17:45:57:067',3,0,0
176,'2018/02/18 17:45:57:078',3,0,0
177,'2018/02/18 17:45:57:078',3,0,0
178,'2018/02/18 17:45:57:088',3,0,0
179,'2018/02/18 17:45:57:099',3,0,0
180,'2018/02/18 17:45:57:099',3,48,0
181,'2018/02/18 17:45:57:110',3,-48,0
182,'2018/02/18 17:45:57:111',3,0,0
183,'2018/02/18 17:45:57:118',3,-48,0
184,'2018/02/18 17:45:57:127',3,48,0
185,'2018/02/18 17:45:57:128',3,0,0
186,'2018/02/18 17:45:57:137',3,-16,0
187,'2018/02/18 17:45:57:147',3,16,0
188,'2018/02/18 17:45:57:148',3,0,0
189,'2018/02/18 17:45:57:159',3,0,0
190,'2018/02/18 17:45:57:159',3,0,0
191,'2018/02/18 17:45:57:168',3,0,0
192,'2018/02/18 17:45:57:169',3,0,0
193,'2018/02/18 17:45:57:177',3,0,0
194,'2018/02/18 17:45:57:188',3,0,0
195,'2018/02/18 17:45:57:189',3,0,0
196,'2018/02/18 17:45:57:199',3,16,0
197,'2018/02/18 17:45:57:200',3,-16,0
198,'2018/02/18 17:45:57:208',3,0,0
199,'2018/02/18 17:45:57:219',3,0,0
200,'2018/02/18 17:45:57:220',3,0,0
201,'2018/02/18 17:45:57:228',3,0,0
202,'2018/02/18 17:45:57:229',3,-16,0
203,'2018/02/18 17:45:57:237',3,16,0
204,'2018/02/18 17:45:57:249',3,0,0
205,'2018/02/18 17:45:57:251',3,32,0
206,'2018/02/18 17:45:57:259',3,-32,0
207,'2018/02/18 17:45:57:260',3,0,0
208,'2018/02/18 17:45:57:267',3,0,0
209,'2018/02/18 17:45:57:277',3,-16,0
210,'2018/02/18 17:45:57:278',3,16,0
211,'2018/02/18 17:45:57:288',3,0,0
212,'2018/02/18 17:45:57:289',3,0,0
213,'2018/02/18 17:45:57:298',3,0,0
214,'2018/02/18 17:45:57:309',3,0,0
215,'2018/02/18 17:45:57:309',3,16,0
216,'2018/02/18 17:45:57:317',3,-16,0
217,'2018/02/18 17:45:57:317',3,0,0
218,'2018/02/18 17:45:57:328',3,-32,0
219,'2018/02/18 17:45:57:338',3,32,0
220,'2018/02/18 17:45:57:339',3,0,0
221,'2018/02/18 17:45:57:348',3,32,0
222,'2018/02/18 17:45:57:348',3,-32,0
223,'2018/02/18 17:45:57:359',3,0,0
224,'2018/02/18 17:45:57:372',3,0,0
225,'2018/02/18 17:45:57:373',3,-16,0
226,'2018/02/18 17:45:57:374',3,16,0
227,'2018/02/18 17:45:57:382',3,0,0
228,'2018/02/18 17:45:57:393',3,-16,0
229,'2018/02/18 17:45:57:394',3,16,0
230,'2018/02/18 17:45:57:403',3,0,0
231,'2018/02/18 17:45:57:404',3,0,0
232,'2018/02/18 17:45:57:412',3,0,0
233,'2018/02/18 17:45:57:421',3,0,0
234,'2018/02/18 17:45:57:422',3,16,0
235,'2018/02/18 17:45:57:433',3,-16,0
236,'2018/02/18 17:45:57:434',3,0,0
237,'2018/02/18 17:45:57:442',3,0,0
238,'2018/02/18 17:45:57:453',3,0,0
239,'2018/02/18 17:45:57:454',3,0,0
240,'2018/02/18 17:45:57:462',3,0,0
241,'2018/02/18 17:45:57:463',3,16,0
242,'2018/02/18 17:45:57:472',3,-16,0
243,'2018/02/18 17:45:57:481',3,0,0
244,'2018/02/18 17:45:57:482',3,-16,0
245,'2018/02/18 17:45:57:493',3,16,0
246,'2018/02/18 17:45:57:494',3,0,0
247,'2018/02/18 17:45:57:502',3,-32,0
248,'2018/02/18 17:45:57:513',3,32,0
